
=== CANONICAL COLLECTION ===
----------------------------------- State 0 -----------------------------------
[ Goal            -> *Program                                     , End ]
[ Access     -> *Access [ Expr ]     , =? ]
[ Access     -> *Access ( Args )     , =? ]
[ Access     -> *Access . Identifier , =? ]
[ Access     -> *AccessBase          , =? ]
[ Access     -> *Access [ Expr ]     , >= ]
[ Access     -> *Access ( Args )     , >= ]
[ Access     -> *Access . Identifier , >= ]
[ Access     -> *AccessBase          , >= ]
[ Access     -> *Access [ Expr ]     , <= ]
[ Access     -> *Access ( Args )     , <= ]
[ Access     -> *Access . Identifier , <= ]
[ Access     -> *AccessBase          , <= ]
[ Access     -> *Access [ Expr ]     , > ]
[ Access     -> *Access ( Args )     , > ]
[ Access     -> *Access . Identifier , > ]
[ Access     -> *AccessBase          , > ]
[ Access     -> *Access [ Expr ]     , < ]
[ Access     -> *Access ( Args )     , < ]
[ Access     -> *Access . Identifier , < ]
[ Access     -> *AccessBase          , < ]
[ Access     -> *Access [ Expr ]     , + ]
[ Access     -> *Access ( Args )     , + ]
[ Access     -> *Access . Identifier , + ]
[ Access     -> *AccessBase          , + ]
[ Access     -> *Access [ Expr ]     , - ]
[ Access     -> *Access ( Args )     , - ]
[ Access     -> *Access . Identifier , - ]
[ Access     -> *AccessBase          , - ]
[ Access     -> *Access [ Expr ]     , * ]
[ Access     -> *Access ( Args )     , * ]
[ Access     -> *Access . Identifier , * ]
[ Access     -> *AccessBase          , * ]
[ Access     -> *Access [ Expr ]     , / ]
[ Access     -> *Access ( Args )     , / ]
[ Access     -> *Access . Identifier , / ]
[ Access     -> *AccessBase          , / ]
[ Access     -> *Access [ Expr ]     , [ ]
[ Access     -> *Access ( Args )     , [ ]
[ Access     -> *Access . Identifier , [ ]
[ Access     -> *AccessBase          , [ ]
[ Access     -> *Access [ Expr ]     , ( ]
[ Access     -> *Access ( Args )     , ( ]
[ Access     -> *Access . Identifier , ( ]
[ Access     -> *AccessBase          , ( ]
[ Access     -> *Access [ Expr ]     , . ]
[ Access     -> *Access ( Args )     , . ]
[ Access     -> *Access . Identifier , . ]
[ Access     -> *AccessBase          , . ]
[ AccessBase -> *Identifier          , ] ]
[ AccessBase -> *( Expr )            , ] ]
[ AccessBase -> *Identifier          , || ]
[ AccessBase -> *( Expr )            , || ]
[ AccessBase -> *Identifier          , && ]
[ AccessBase -> *( Expr )            , && ]
[ AccessBase -> *Identifier          , =? ]
[ AccessBase -> *( Expr )            , =? ]
[ AccessBase -> *Identifier          , >= ]
[ AccessBase -> *( Expr )            , >= ]
[ AccessBase -> *Identifier          , <= ]
[ AccessBase -> *( Expr )            , <= ]
[ AccessBase -> *Identifier          , > ]
[ AccessBase -> *( Expr )            , > ]
[ AccessBase -> *Identifier          , < ]
[ AccessBase -> *( Expr )            , < ]
[ AccessBase -> *Identifier          , + ]
[ AccessBase -> *( Expr )            , + ]
[ AccessBase -> *Identifier          , - ]
[ AccessBase -> *( Expr )            , - ]
[ AccessBase -> *Identifier          , * ]
[ AccessBase -> *( Expr )            , * ]
[ AccessBase -> *Identifier          , / ]
[ AccessBase -> *( Expr )            , / ]
[ AccessBase -> *Identifier          , [ ]
[ AccessBase -> *( Expr )            , [ ]
[ AccessBase -> *Identifier          , ( ]
[ AccessBase -> *( Expr )            , ( ]
[ AccessBase -> *Identifier          , . ]
[ AccessBase -> *( Expr )            , . ]
[ Identifier -> *name                , ] ]
[ Identifier -> *name                , || ]
[ Identifier -> *name                , && ]
[ Identifier -> *name                , =? ]
[ Identifier -> *name                , >= ]
[ Identifier -> *name                , <= ]
[ Identifier -> *name                , > ]
[ Identifier -> *name                , < ]
[ Identifier -> *name                , + ]
[ Identifier -> *name                , - ]
[ Identifier -> *name                , * ]
[ Identifier -> *name                , / ]
[ Identifier -> *name                , [ ]
[ Identifier -> *name                , ( ]
[ Identifier -> *name                , . ]
-------------------------------------------

------------------------ State 209 -------------------------
[ CondStat -> if ( Expr ) *Block               , End ]
[ CondStat -> if ( Expr ) *Block else CondStat , End ]
[ CondStat -> if ( Expr ) *Block else Block    , End ]
[ CondStat -> if ( Expr ) *Block               , - ]
[ CondStat -> if ( Expr ) *Block else CondStat , - ]
[ CondStat -> if ( Expr ) *Block else Block    , - ]
[ CondStat -> if ( Expr ) *Block               , ( ]
[ CondStat -> if ( Expr ) *Block else CondStat , ( ]
[ CondStat -> if ( Expr ) *Block else Block    , ( ]
[ CondStat -> if ( Expr ) *Block               , integer ]
[ CondStat -> if ( Expr ) *Block else CondStat , integer ]
[ CondStat -> if ( Expr ) *Block else Block    , integer ]
[ CondStat -> if ( Expr ) *Block               , floating ]
[ CondStat -> if ( Expr ) *Block else CondStat , floating ]
[ CondStat -> if ( Expr ) *Block else Block    , floating ]
[ CondStat -> if ( Expr ) *Block               , name ]
[ CondStat -> if ( Expr ) *Block else CondStat , name ]
[ CondStat -> if ( Expr ) *Block else Block    , name ]
[ CondStat -> if ( Expr ) *Block               , litstring ]
[ CondStat -> if ( Expr ) *Block else CondStat , litstring ]
[ CondStat -> if ( Expr ) *Block else Block    , litstring ]
[ CondStat -> if ( Expr ) *Block               , true ]
[ CondStat -> if ( Expr ) *Block else CondStat , true ]
[ CondStat -> if ( Expr ) *Block else Block    , true ]
[ CondStat -> if ( Expr ) *Block               , false ]
[ CondStat -> if ( Expr ) *Block else CondStat , false ]
[ CondStat -> if ( Expr ) *Block else Block    , false ]
[ CondStat -> if ( Expr ) *Block               , if ]
[ CondStat -> if ( Expr ) *Block else CondStat , if ]
[ CondStat -> if ( Expr ) *Block else Block    , if ]
[ CondStat -> if ( Expr ) *Block               , while ]
[ CondStat -> if ( Expr ) *Block else CondStat , while ]
[ CondStat -> if ( Expr ) *Block else Block    , while ]
[ CondStat -> if ( Expr ) *Block               , for ]
[ CondStat -> if ( Expr ) *Block else CondStat , for ]
[ CondStat -> if ( Expr ) *Block else Block    , for ]
[ CondStat -> if ( Expr ) *Block               , init ]
[ CondStat -> if ( Expr ) *Block else CondStat , init ]
[ CondStat -> if ( Expr ) *Block else Block    , init ]
[ CondStat -> if ( Expr ) *Block               , proc ]
[ CondStat -> if ( Expr ) *Block else CondStat , proc ]
[ CondStat -> if ( Expr ) *Block else Block    , proc ]
[ CondStat -> if ( Expr ) *Block               , return ]
[ CondStat -> if ( Expr ) *Block else CondStat , return ]
[ CondStat -> if ( Expr ) *Block else Block    , return ]
[ CondStat -> if ( Expr ) *Block               , break ]
[ CondStat -> if ( Expr ) *Block else CondStat , break ]
[ CondStat -> if ( Expr ) *Block else Block    , break ]
[ CondStat -> if ( Expr ) *Block               , continue ]
[ CondStat -> if ( Expr ) *Block else CondStat , continue ]
[ CondStat -> if ( Expr ) *Block else Block    , continue ]
[ Block    -> *{ CompStat }                    , End ]
[ Block    -> *{ CompStat }                    , else ]
[ Block    -> *{ CompStat }                    , - ]
[ Block    -> *{ CompStat }                    , ( ]
[ Block    -> *{ CompStat }                    , integer ]
[ Block    -> *{ CompStat }                    , floating ]
[ Block    -> *{ CompStat }                    , name ]
[ Block    -> *{ CompStat }                    , litstring ]
[ Block    -> *{ CompStat }                    , true ]
[ Block    -> *{ CompStat }                    , false ]
[ Block    -> *{ CompStat }                    , if ]
[ Block    -> *{ CompStat }                    , while ]
[ Block    -> *{ CompStat }                    , for ]
[ Block    -> *{ CompStat }                    , init ]
[ Block    -> *{ CompStat }                    , proc ]
[ Block    -> *{ CompStat }                    , return ]
[ Block    -> *{ CompStat }                    , break ]
[ Block    -> *{ CompStat }                    , continue ]
------------------------------------------------------------

----------------- State 210 ------------------
[ While -> while ( Expr ) *Block , End ]
[ While -> while ( Expr ) *Block , - ]
[ While -> while ( Expr ) *Block , ( ]
[ While -> while ( Expr ) *Block , integer ]
[ While -> while ( Expr ) *Block , floating ]
[ While -> while ( Expr ) *Block , name ]
[ While -> while ( Expr ) *Block , litstring ]
[ While -> while ( Expr ) *Block , true ]
[ While -> while ( Expr ) *Block , false ]
[ While -> while ( Expr ) *Block , if ]
[ While -> while ( Expr ) *Block , while ]
[ While -> while ( Expr ) *Block , for ]
[ While -> while ( Expr ) *Block , init ]
[ While -> while ( Expr ) *Block , proc ]
[ While -> while ( Expr ) *Block , return ]
[ While -> while ( Expr ) *Block , break ]
[ While -> while ( Expr ) *Block , continue ]
[ Block -> *{ CompStat }         , End ]
[ Block -> *{ CompStat }         , - ]
[ Block -> *{ CompStat }         , ( ]
[ Block -> *{ CompStat }         , integer ]
[ Block -> *{ CompStat }         , floating ]
[ Block -> *{ CompStat }         , name ]
[ Block -> *{ CompStat }         , litstring ]
[ Block -> *{ CompStat }         , true ]
[ Block -> *{ CompStat }         , false ]
[ Block -> *{ CompStat }         , if ]
[ Block -> *{ CompStat }         , while ]
[ Block -> *{ CompStat }         , for ]
[ Block -> *{ CompStat }         , init ]
[ Block -> *{ CompStat }         , proc ]
[ Block -> *{ CompStat }         , return ]
[ Block -> *{ CompStat }         , break ]
[ Block -> *{ CompStat }         , continue ]
----------------------------------------------

-------------------------- State 211 --------------------------
[ For        -> for ( Stat ; *Expr ; Stat ) Block , End ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , - ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , ( ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , integer ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , floating ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , name ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , litstring ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , true ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , false ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , if ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , while ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , for ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , init ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , proc ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , return ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , break ]
[ For        -> for ( Stat ; *Expr ; Stat ) Block , continue ]
[ Expr       -> *Expr || LogAnd                   , ; ]
[ Expr       -> *LogAnd                           , ; ]
[ Expr       -> *Expr || LogAnd                   , || ]
[ Expr       -> *LogAnd                           , || ]
[ LogAnd     -> *LogAnd && Relation               , ; ]
[ LogAnd     -> *Relation                         , ; ]
[ LogAnd     -> *LogAnd && Relation               , || ]
[ LogAnd     -> *Relation                         , || ]
[ LogAnd     -> *LogAnd && Relation               , && ]
[ LogAnd     -> *Relation                         , && ]
[ Relation   -> *Relation RelOp Eval              , ; ]
[ Relation   -> *Eval                             , ; ]
[ Relation   -> *Relation RelOp Eval              , || ]
[ Relation   -> *Eval                             , || ]
[ Relation   -> *Relation RelOp Eval              , && ]
[ Relation   -> *Eval                             , && ]
[ Relation   -> *Relation RelOp Eval              , =? ]
[ Relation   -> *Relation RelOp Eval              , >= ]
[ Relation   -> *Relation RelOp Eval              , <= ]
[ Relation   -> *Relation RelOp Eval              , > ]
[ Relation   -> *Relation RelOp Eval              , < ]
[ Relation   -> *Eval                             , =? ]
[ Relation   -> *Eval                             , >= ]
[ Relation   -> *Eval                             , <= ]
[ Relation   -> *Eval                             , > ]
[ Relation   -> *Eval                             , < ]
[ Eval       -> *Eval + Term                      , ; ]
[ Eval       -> *Eval - Term                      , ; ]
[ Eval       -> *Term                             , ; ]
[ Eval       -> *Eval + Term                      , || ]
[ Eval       -> *Eval - Term                      , || ]
[ Eval       -> *Term                             , || ]
[ Eval       -> *Eval + Term                      , && ]
[ Eval       -> *Eval - Term                      , && ]
[ Eval       -> *Term                             , && ]
[ Eval       -> *Eval + Term                      , =? ]
[ Eval       -> *Eval - Term                      , =? ]
[ Eval       -> *Term                             , =? ]
[ Eval       -> *Eval + Term                      , >= ]
[ Eval       -> *Eval - Term                      , >= ]
[ Eval       -> *Term                             , >= ]
[ Eval       -> *Eval + Term                      , <= ]
[ Eval       -> *Eval - Term                      , <= ]
[ Eval       -> *Term                             , <= ]
[ Eval       -> *Eval + Term                      , > ]
[ Eval       -> *Eval - Term                      , > ]
[ Eval       -> *Term                             , > ]
[ Eval       -> *Eval + Term                      , < ]
[ Eval       -> *Eval - Term                      , < ]
[ Eval       -> *Term                             , < ]
[ Eval       -> *Eval + Term                      , + ]
[ Eval       -> *Eval - Term                      , + ]
[ Eval       -> *Term                             , + ]
[ Eval       -> *Eval + Term                      , - ]
[ Eval       -> *Eval - Term                      , - ]
[ Eval       -> *Term                             , - ]
[ Term       -> *Term * Negative                  , ; ]
[ Term       -> *Term / Negative                  , ; ]
[ Term       -> *Negative                         , ; ]
[ Term       -> *Term * Negative                  , || ]
[ Term       -> *Term / Negative                  , || ]
[ Term       -> *Negative                         , || ]
[ Term       -> *Term * Negative                  , && ]
[ Term       -> *Term / Negative                  , && ]
[ Term       -> *Negative                         , && ]
[ Term       -> *Term * Negative                  , =? ]
[ Term       -> *Term / Negative                  , =? ]
[ Term       -> *Negative                         , =? ]
[ Term       -> *Term * Negative                  , >= ]
[ Term       -> *Term / Negative                  , >= ]
[ Term       -> *Negative                         , >= ]
[ Term       -> *Term * Negative                  , <= ]
[ Term       -> *Term / Negative                  , <= ]
[ Term       -> *Negative                         , <= ]
[ Term       -> *Term * Negative                  , > ]
[ Term       -> *Term / Negative                  , > ]
[ Term       -> *Negative                         , > ]
[ Term       -> *Term * Negative                  , < ]
[ Term       -> *Term / Negative                  , < ]
[ Term       -> *Negative                         , < ]
[ Term       -> *Term * Negative                  , + ]
[ Term       -> *Term / Negative                  , + ]
[ Term       -> *Negative                         , + ]
[ Term       -> *Term * Negative                  , - ]
[ Term       -> *Term / Negative                  , - ]
[ Term       -> *Negative                         , - ]
[ Term       -> *Term * Negative                  , * ]
[ Term       -> *Term / Negative                  , * ]
[ Term       -> *Negative                         , * ]
[ Term       -> *Term * Negative                  , / ]
[ Term       -> *Term / Negative                  , / ]
[ Term       -> *Negative                         , / ]
[ Negative   -> *- Factor                         , ; ]
[ Negative   -> *Factor                           , ; ]
[ Negative   -> *- Factor                         , || ]
[ Negative   -> *Factor                           , || ]
[ Negative   -> *- Factor                         , && ]
[ Negative   -> *Factor                           , && ]
[ Negative   -> *- Factor                         , =? ]
[ Negative   -> *Factor                           , =? ]
[ Negative   -> *- Factor                         , >= ]
[ Negative   -> *Factor                           , >= ]
[ Negative   -> *- Factor                         , <= ]
[ Negative   -> *Factor                           , <= ]
[ Negative   -> *- Factor                         , > ]
[ Negative   -> *Factor                           , > ]
[ Negative   -> *- Factor                         , < ]
[ Negative   -> *Factor                           , < ]
[ Negative   -> *- Factor                         , + ]
[ Negative   -> *Factor                           , + ]
[ Negative   -> *- Factor                         , - ]
[ Negative   -> *Factor                           , - ]
[ Negative   -> *- Factor                         , * ]
[ Negative   -> *Factor                           , * ]
[ Negative   -> *- Factor                         , / ]
[ Negative   -> *Factor                           , / ]
[ Factor     -> *Access                           , ; ]
[ Factor     -> *integer                          , ; ]
[ Factor     -> *floating                         , ; ]
[ Factor     -> *litstring                        , ; ]
[ Factor     -> *true                             , ; ]
[ Factor     -> *false                            , ; ]
[ Factor     -> *Access                           , || ]
[ Factor     -> *integer                          , || ]
[ Factor     -> *floating                         , || ]
[ Factor     -> *litstring                        , || ]
[ Factor     -> *true                             , || ]
[ Factor     -> *false                            , || ]
[ Factor     -> *Access                           , && ]
[ Factor     -> *integer                          , && ]
[ Factor     -> *floating                         , && ]
[ Factor     -> *litstring                        , && ]
[ Factor     -> *true                             , && ]
[ Factor     -> *false                            , && ]
[ Factor     -> *Access                           , =? ]
[ Factor     -> *integer                          , =? ]
[ Factor     -> *floating                         , =? ]
[ Factor     -> *litstring                        , =? ]
[ Factor     -> *true                             , =? ]
[ Factor     -> *false                            , =? ]
[ Factor     -> *Access                           , >= ]
[ Factor     -> *integer                          , >= ]
[ Factor     -> *floating                         , >= ]
[ Factor     -> *litstring                        , >= ]
[ Factor     -> *true                             , >= ]
[ Factor     -> *false                            , >= ]
[ Factor     -> *Access                           , <= ]
[ Factor     -> *integer                          , <= ]
[ Factor     -> *floating                         , <= ]
[ Factor     -> *litstring                        , <= ]
[ Factor     -> *true                             , <= ]
[ Factor     -> *false                            , <= ]
[ Factor     -> *Access                           , > ]
[ Factor     -> *integer                          , > ]
[ Factor     -> *floating                         , > ]
[ Factor     -> *litstring                        , > ]
[ Factor     -> *true                             , > ]
[ Factor     -> *false                            , > ]
[ Factor     -> *Access                           , < ]
[ Factor     -> *integer                          , < ]
[ Factor     -> *floating                         , < ]
[ Factor     -> *litstring                        , < ]
[ Factor     -> *true                             , < ]
[ Factor     -> *false                            , < ]
[ Factor     -> *Access                           , + ]
[ Factor     -> *integer                          , + ]
[ Factor     -> *floating                         , + ]
[ Factor     -> *litstring                        , + ]
[ Factor     -> *true                             , + ]
[ Factor     -> *false                            , + ]
[ Factor     -> *Access                           , - ]
[ Factor     -> *integer                          , - ]
[ Factor     -> *floating                         , - ]
[ Factor     -> *litstring                        , - ]
[ Factor     -> *true                             , - ]
[ Factor     -> *false                            , - ]
[ Factor     -> *Access                           , * ]
[ Factor     -> *integer                          , * ]
[ Factor     -> *floating                         , * ]
[ Factor     -> *litstring                        , * ]
[ Factor     -> *true                             , * ]
[ Factor     -> *false                            , * ]
[ Factor     -> *Access                           , / ]
[ Factor     -> *integer                          , / ]
[ Factor     -> *floating                         , / ]
[ Factor     -> *litstring                        , / ]
[ Factor     -> *true                             , / ]
[ Factor     -> *false                            , / ]
[ Access     -> *Access [ Expr ]                  , ; ]
[ Access     -> *Access ( Args )                  , ; ]
[ Access     -> *Access . Identifier              , ; ]
[ Access     -> *AccessBase                       , ; ]
[ Access     -> *Access [ Expr ]                  , || ]
[ Access     -> *Access ( Args )                  , || ]
[ Access     -> *Access . Identifier              , || ]
[ Access     -> *AccessBase                       , || ]
[ Access     -> *Access [ Expr ]                  , && ]
[ Access     -> *Access ( Args )                  , && ]
[ Access     -> *Access . Identifier              , && ]
[ Access     -> *AccessBase                       , && ]
[ Access     -> *Access [ Expr ]                  , =? ]
[ Access     -> *Access ( Args )                  , =? ]
[ Access     -> *Access . Identifier              , =? ]
[ Access     -> *AccessBase                       , =? ]
[ Access     -> *Access [ Expr ]                  , >= ]
[ Access     -> *Access ( Args )                  , >= ]
[ Access     -> *Access . Identifier              , >= ]
[ Access     -> *AccessBase                       , >= ]
[ Access     -> *Access [ Expr ]                  , <= ]
[ Access     -> *Access ( Args )                  , <= ]
[ Access     -> *Access . Identifier              , <= ]
[ Access     -> *AccessBase                       , <= ]
[ Access     -> *Access [ Expr ]                  , > ]
[ Access     -> *Access ( Args )                  , > ]
[ Access     -> *Access . Identifier              , > ]
[ Access     -> *AccessBase                       , > ]
[ Access     -> *Access [ Expr ]                  , < ]
[ Access     -> *Access ( Args )                  , < ]
[ Access     -> *Access . Identifier              , < ]
[ Access     -> *AccessBase                       , < ]
[ Access     -> *Access [ Expr ]                  , + ]
[ Access     -> *Access ( Args )                  , + ]
[ Access     -> *Access . Identifier              , + ]
[ Access     -> *AccessBase                       , + ]
[ Access     -> *Access [ Expr ]                  , - ]
[ Access     -> *Access ( Args )                  , - ]
[ Access     -> *Access . Identifier              , - ]
[ Access     -> *AccessBase                       , - ]
[ Access     -> *Access [ Expr ]                  , * ]
[ Access     -> *Access ( Args )                  , * ]
[ Access     -> *Access . Identifier              , * ]
[ Access     -> *AccessBase                       , * ]
[ Access     -> *Access [ Expr ]                  , / ]
[ Access     -> *Access ( Args )                  , / ]
[ Access     -> *Access . Identifier              , / ]
[ Access     -> *AccessBase                       , / ]
[ Access     -> *Access [ Expr ]                  , [ ]
[ Access     -> *Access ( Args )                  , [ ]
[ Access     -> *Access . Identifier              , [ ]
[ Access     -> *AccessBase                       , [ ]
[ Access     -> *Access [ Expr ]                  , ( ]
[ Access     -> *Access ( Args )                  , ( ]
[ Access     -> *Access . Identifier              , ( ]
[ Access     -> *AccessBase                       , ( ]
[ Access     -> *Access [ Expr ]                  , . ]
[ Access     -> *Access ( Args )                  , . ]
[ Access     -> *Access . Identifier              , . ]
[ Access     -> *AccessBase                       , . ]
[ AccessBase -> *Identifier                       , ; ]
[ AccessBase -> *( Expr )                         , ; ]
[ AccessBase -> *Identifier                       , || ]
[ AccessBase -> *( Expr )                         , || ]
[ AccessBase -> *Identifier                       , && ]
[ AccessBase -> *( Expr )                         , && ]
[ AccessBase -> *Identifier                       , =? ]
[ AccessBase -> *( Expr )                         , =? ]
[ AccessBase -> *Identifier                       , >= ]
[ AccessBase -> *( Expr )                         , >= ]
[ AccessBase -> *Identifier                       , <= ]
[ AccessBase -> *( Expr )                         , <= ]
[ AccessBase -> *Identifier                       , > ]
[ AccessBase -> *( Expr )                         , > ]
[ AccessBase -> *Identifier                       , < ]
[ AccessBase -> *( Expr )                         , < ]
[ AccessBase -> *Identifier                       , + ]
[ AccessBase -> *( Expr )                         , + ]
[ AccessBase -> *Identifier                       , - ]
[ AccessBase -> *( Expr )                         , - ]
[ AccessBase -> *Identifier                       , * ]
[ AccessBase -> *( Expr )                         , * ]
[ AccessBase -> *Identifier                       , / ]
[ AccessBase -> *( Expr )                         , / ]
[ AccessBase -> *Identifier                       , [ ]
[ AccessBase -> *( Expr )                         , [ ]
[ AccessBase -> *Identifier                       , ( ]
[ AccessBase -> *( Expr )                         , ( ]
[ AccessBase -> *Identifier                       , . ]
[ AccessBase -> *( Expr )                         , . ]
[ Identifier -> *name                             , ; ]
[ Identifier -> *name                             , || ]
[ Identifier -> *name                             , && ]
[ Identifier -> *name                             , =? ]
[ Identifier -> *name                             , >= ]
[ Identifier -> *name                             , <= ]
[ Identifier -> *name                             , > ]
[ Identifier -> *name                             , < ]
[ Identifier -> *name                             , + ]
[ Identifier -> *name                             , - ]
[ Identifier -> *name                             , * ]
[ Identifier -> *name                             , / ]
[ Identifier -> *name                             , [ ]
[ Identifier -> *name                             , ( ]
[ Identifier -> *name                             , . ]
---------------------------------------------------------------

----------- State 212 ------------
[ VarType -> VarType [ ] *, name ]
[ VarType -> VarType [ ] *, [ ]
----------------------------------

---------------------------- State 213 ----------------------------
[ Declaration   -> init VarType Identifier <- *Instantiation , ; ]
[ Instantiation -> *Expr                                     , ; ]
[ Instantiation -> *StorageAssign                            , ; ]
[ Expr          -> *Expr || LogAnd                           , ; ]
[ Expr          -> *LogAnd                                   , ; ]
[ StorageAssign -> *assign ArrInst                           , ; ]
[ Expr          -> *Expr || LogAnd                           , || ]
[ Expr          -> *LogAnd                                   , || ]
[ LogAnd        -> *LogAnd && Relation                       , ; ]
[ LogAnd        -> *Relation                                 , ; ]
[ LogAnd        -> *LogAnd && Relation                       , || ]
[ LogAnd        -> *Relation                                 , || ]
[ LogAnd        -> *LogAnd && Relation                       , && ]
[ LogAnd        -> *Relation                                 , && ]
[ Relation      -> *Relation RelOp Eval                      , ; ]
[ Relation      -> *Eval                                     , ; ]
[ Relation      -> *Relation RelOp Eval                      , || ]
[ Relation      -> *Eval                                     , || ]
[ Relation      -> *Relation RelOp Eval                      , && ]
[ Relation      -> *Eval                                     , && ]
[ Relation      -> *Relation RelOp Eval                      , =? ]
[ Relation      -> *Relation RelOp Eval                      , >= ]
[ Relation      -> *Relation RelOp Eval                      , <= ]
[ Relation      -> *Relation RelOp Eval                      , > ]
[ Relation      -> *Relation RelOp Eval                      , < ]
[ Relation      -> *Eval                                     , =? ]
[ Relation      -> *Eval                                     , >= ]
[ Relation      -> *Eval                                     , <= ]
[ Relation      -> *Eval                                     , > ]
[ Relation      -> *Eval                                     , < ]
[ Eval          -> *Eval + Term                              , ; ]
[ Eval          -> *Eval - Term                              , ; ]
[ Eval          -> *Term                                     , ; ]
[ Eval          -> *Eval + Term                              , || ]
[ Eval          -> *Eval - Term                              , || ]
[ Eval          -> *Term                                     , || ]
[ Eval          -> *Eval + Term                              , && ]
[ Eval          -> *Eval - Term                              , && ]
[ Eval          -> *Term                                     , && ]
[ Eval          -> *Eval + Term                              , =? ]
[ Eval          -> *Eval - Term                              , =? ]
[ Eval          -> *Term                                     , =? ]
[ Eval          -> *Eval + Term                              , >= ]
[ Eval          -> *Eval - Term                              , >= ]
[ Eval          -> *Term                                     , >= ]
[ Eval          -> *Eval + Term                              , <= ]
[ Eval          -> *Eval - Term                              , <= ]
[ Eval          -> *Term                                     , <= ]
[ Eval          -> *Eval + Term                              , > ]
[ Eval          -> *Eval - Term                              , > ]
[ Eval          -> *Term                                     , > ]
[ Eval          -> *Eval + Term                              , < ]
[ Eval          -> *Eval - Term                              , < ]
[ Eval          -> *Term                                     , < ]
[ Eval          -> *Eval + Term                              , + ]
[ Eval          -> *Eval - Term                              , + ]
[ Eval          -> *Term                                     , + ]
[ Eval          -> *Eval + Term                              , - ]
[ Eval          -> *Eval - Term                              , - ]
[ Eval          -> *Term                                     , - ]
[ Term          -> *Term * Negative                          , ; ]
[ Term          -> *Term / Negative                          , ; ]
[ Term          -> *Negative                                 , ; ]
[ Term          -> *Term * Negative                          , || ]
[ Term          -> *Term / Negative                          , || ]
[ Term          -> *Negative                                 , || ]
[ Term          -> *Term * Negative                          , && ]
[ Term          -> *Term / Negative                          , && ]
[ Term          -> *Negative                                 , && ]
[ Term          -> *Term * Negative                          , =? ]
[ Term          -> *Term / Negative                          , =? ]
[ Term          -> *Negative                                 , =? ]
[ Term          -> *Term * Negative                          , >= ]
[ Term          -> *Term / Negative                          , >= ]
[ Term          -> *Negative                                 , >= ]
[ Term          -> *Term * Negative                          , <= ]
[ Term          -> *Term / Negative                          , <= ]
[ Term          -> *Negative                                 , <= ]
[ Term          -> *Term * Negative                          , > ]
[ Term          -> *Term / Negative                          , > ]
[ Term          -> *Negative                                 , > ]
[ Term          -> *Term * Negative                          , < ]
[ Term          -> *Term / Negative                          , < ]
[ Term          -> *Negative                                 , < ]
[ Term          -> *Term * Negative                          , + ]
[ Term          -> *Term / Negative                          , + ]
[ Term          -> *Negative                                 , + ]
[ Term          -> *Term * Negative                          , - ]
[ Term          -> *Term / Negative                          , - ]
[ Term          -> *Negative                                 , - ]
[ Term          -> *Term * Negative                          , * ]
[ Term          -> *Term / Negative                          , * ]
[ Term          -> *Negative                                 , * ]
[ Term          -> *Term * Negative                          , / ]
[ Term          -> *Term / Negative                          , / ]
[ Term          -> *Negative                                 , / ]
[ Negative      -> *- Factor                                 , ; ]
[ Negative      -> *Factor                                   , ; ]
[ Negative      -> *- Factor                                 , || ]
[ Negative      -> *Factor                                   , || ]
[ Negative      -> *- Factor                                 , && ]
[ Negative      -> *Factor                                   , && ]
[ Negative      -> *- Factor                                 , =? ]
[ Negative      -> *Factor                                   , =? ]
[ Negative      -> *- Factor                                 , >= ]
[ Negative      -> *Factor                                   , >= ]
[ Negative      -> *- Factor                                 , <= ]
[ Negative      -> *Factor                                   , <= ]
[ Negative      -> *- Factor                                 , > ]
[ Negative      -> *Factor                                   , > ]
[ Negative      -> *- Factor                                 , < ]
[ Negative      -> *Factor                                   , < ]
[ Negative      -> *- Factor                                 , + ]
[ Negative      -> *Factor                                   , + ]
[ Negative      -> *- Factor                                 , - ]
[ Negative      -> *Factor                                   , - ]
[ Negative      -> *- Factor                                 , * ]
[ Negative      -> *Factor                                   , * ]
[ Negative      -> *- Factor                                 , / ]
[ Negative      -> *Factor                                   , / ]
[ Factor        -> *Access                                   , ; ]
[ Factor        -> *integer                                  , ; ]
[ Factor        -> *floating                                 , ; ]
[ Factor        -> *litstring                                , ; ]
[ Factor        -> *true                                     , ; ]
[ Factor        -> *false                                    , ; ]
[ Factor        -> *Access                                   , || ]
[ Factor        -> *integer                                  , || ]
[ Factor        -> *floating                                 , || ]
[ Factor        -> *litstring                                , || ]
